keyword	Level2
首乌	成分与药材
迷迭香	成分与药材
明目	需求&功能
铁元素	成分与药材
郊游	健身塑形
多汗症	疾病与健康问题
黑芝麻	成分与药材
淮山	成分与药材
鼻窦炎	疾病与健康问题
野菊花	成分与药材
秋燥	疾病与健康问题
胃癌	疾病与健康问题
冠心病	疾病与健康问题
羊水过多	疾病与健康问题
贫血	疾病与健康问题
肛裂	疾病与健康问题
润肺	需求&功能
胸透	体检（健康指标）
记忆力减退	疾病与健康问题
结肠癌	疾病与健康问题
胃溃疡	疾病与健康问题
针炙	治疗手段
蛙泳	健身塑形
免疫调节	需求&功能
安神	需求&功能
肾结石	疾病与健康问题
热量表	体检（健康指标）
蛀牙	疾病与健康问题
姜茶	成分与药材
荷叶	成分与药材
桑叶	成分与药材
黄酮类	成分与药材
胸痛	疾病与健康问题
桂圆	成分与药材
咽炎	疾病与健康问题
神经痛	疾病与健康问题
降血压	需求&功能
提高免疫力	需求&功能
脂肪	成分与药材
血管硬化	疾病与健康问题
脂肪肝	疾病与健康问题
口干	疾病与健康问题
高污染	环境污染
白芍	成分与药材
减肥瘦身	需求&功能
腹胀	疾病与健康问题
肺炎	疾病与健康问题
盆腔炎	疾病与健康问题
洋甘菊	成分与药材
补钙	需求&功能
自闭症	疾病与健康问题
白内障	疾病与健康问题
脸色发黄	疾病与健康问题
智力发育	需求&功能
西洋参	成分与药材
心脏病	疾病与健康问题
羊胎素	成分与药材
月经不调	疾病与健康问题
肺结核	疾病与健康问题
输卵管	疾病与健康问题
皮炎	疾病与健康问题
决明子	成分与药材
黄疸	疾病与健康问题
当归	成分与药材
核桃	成分与药材
金莲花	成分与药材
精神恍惚	疾病与健康问题
痤疮	疾病与健康问题
补充维生素	需求&功能
食欲不振	疾病与健康问题
腭裂	疾病与健康问题
食管癌	疾病与健康问题
肺癌	疾病与健康问题
污染空气	环境污染
营养不良	疾病与健康问题
动脉硬化	疾病与健康问题
苦参	成分与药材
排污	环境污染
支气管炎	疾病与健康问题
弓步	健身塑形
胃下垂	疾病与健康问题
降血脂	需求&功能
遗精	疾病与健康问题
晕厥	疾病与健康问题
黄芩	成分与药材
通络	需求&功能
菊花	成分与药材
骨质增生	疾病与健康问题
护肝	需求&功能
山药	成分与药材
亚麻酸	成分与药材
矿物质	成分与药材
空气污染	环境污染
强身	需求&功能
脑膜炎	疾病与健康问题
养颜	需求&功能
阳痿	疾病与健康问题
鼠标手	疾病与健康问题
钙铁锌	成分与药材
痢疾	疾病与健康问题
牙齿发黄	疾病与健康问题
胆固醇	疾病与健康问题
干眼	疾病与健康问题
美白	需求&功能
进补	需求&功能
酵素	成分与药材
护肤	需求&功能
骨质疏松	疾病与健康问题
病毒性肝炎	疾病与健康问题
葡萄干	成分与药材
收缩毛孔	需求&功能
验血	体检（健康指标）
粗纤维	成分与药材
神经衰弱	疾病与健康问题
儿童肥胖	疾病与健康问题
荒漠化	环境污染
莲子	成分与药材
污染物	环境污染
角膜炎	疾病与健康问题
抗衰老	需求&功能
斜视	疾病与健康问题
碳水化合物	体检（健康指标）
糖类	成分与药材
肥胖	疾病与健康问题
咳嗽	疾病与健康问题
排球	健身塑形
维生素d	成分与药材
雀斑	疾病与健康问题
白术	成分与药材
龋齿	疾病与健康问题
减肥运动	需求&功能
颈椎病	疾病与健康问题
淡斑	需求&功能
瘦手臂	需求&功能
子宫出血	疾病与健康问题
拔火罐	治疗手段
食物中毒	疾病与健康问题
利湿	需求&功能
磷	成分与药材
枇杷叶	成分与药材
土茯苓	成分与药材
补锌	需求&功能
胃酸过多	疾病与健康问题
碘	成分与药材
流产	疾病与健康问题
有机酸	成分与药材
角球	健身塑形
瘦腿	需求&功能
太子参	成分与药材
营养素	成分与药材
雪莲	成分与药材
补益	需求&功能
沙滩排球	健身塑形
水污染	环境污染
重金属污染	环境污染
远视	疾病与健康问题
强直性脊柱炎	疾病与健康问题
牙龈出血	疾病与健康问题
硒	成分与药材
祛黑眼圈	需求&功能
润燥	需求&功能
防衰老	需求&功能
筛查	体检（健康指标）
阿胶	成分与药材
肺气肿	疾病与健康问题
滑膜炎	疾病与健康问题
锻炼	健身塑形
驻颜	需求&功能
头晕	疾病与健康问题
纤维素	成分与药材
防癌	需求&功能
镜检查	体检（健康指标）
燕窝	成分与药材
消化不良	疾病与健康问题
补铁	需求&功能
更年期	疾病与健康问题
俯卧撑	健身塑形
抗敏	需求&功能
运动	健身塑形
修心	疾病与健康问题
桑白皮	成分与药材
胎儿宫内窒息	疾病与健康问题
虫草	成分与药材
足疗	治疗手段
肉桂	成分与药材
骨折	疾病与健康问题
肾虚	疾病与健康问题
助消化	需求&功能
性功能	疾病与健康问题
胃痛	疾病与健康问题
胰腺炎	疾病与健康问题
荨麻疹	疾病与健康问题
番茄红素	成分与药材
嫩肤	需求&功能
钠	成分与药材
装修污染	环境污染
调节血糖	需求&功能
腰肌劳损	疾病与健康问题
有氧运动	健身塑形
预防疾病	需求&功能
毛孔粗大	疾病与健康问题
羽毛球	健身塑形
皮肤干燥	疾病与健康问题
微量元素	成分与药材
牙痛	疾病与健康问题
胆囊炎	疾病与健康问题
口臭	疾病与健康问题
防晒品	需求&功能
眩晕	疾病与健康问题
大气环境	环境污染
氨基酸	成分与药材
排毒养颜	需求&功能
健脾	需求&功能
风湿性关节炎	疾病与健康问题
砂仁	成分与药材
祛眼袋	需求&功能
风湿病	疾病与健康问题
桌球	健身塑形
哮喘	疾病与健康问题
杠铃	健身塑形
落枕	疾病与健康问题
视神经萎缩	疾病与健康问题
禽流感	疾病与健康问题
血检	体检（健康指标）
尿频	疾病与健康问题
心理健康	疾病与健康问题
健脑	需求&功能
高蛋白	成分与药材
防辐射	需求&功能
鼻炎	疾病与健康问题
低血压	疾病与健康问题
健忘	疾病与健康问题
茶多酚	成分与药材
生地黄	成分与药材
农药	环境污染
胶原蛋白	成分与药材
熟地黄	成分与药材
多梦	疾病与健康问题
营养物质	治疗手段
白带异常	疾病与健康问题
烫伤	疾病与健康问题
B族维生素	成分与药材
食补	需求&功能
葛根	成分与药材
深层清洁	需求&功能
脓包	疾病与健康问题
阑尾炎	疾病与健康问题
莲子心	成分与药材
月见草油	成分与药材
扁桃体炎	疾病与健康问题
珍珠粉	成分与药材
抗氧化	需求&功能
口腔溃疡	疾病与健康问题
牙髓炎	疾病与健康问题
石斛	成分与药材
骑车	健身塑形
肩周炎	疾病与健康问题
腰背痛	疾病与健康问题
皮肤过敏	疾病与健康问题
湿疹	疾病与健康问题
缺钙	疾病与健康问题
眼球突出	疾病与健康问题
骨髓炎	疾病与健康问题
肌肉萎缩	疾病与健康问题
体操	健身塑形
补充营养	需求&功能
按摩	治疗手段
眼袋	疾病与健康问题
踢腿	健身塑形
焦虑症	疾病与健康问题
抗皱	需求&功能
青光眼	疾病与健康问题
晨练	健身塑形
血压计	体检（健康指标）
益生元	成分与药材
控油	需求&功能
扬尘	环境污染
跑步	健身塑形
摄入量	体检（健康指标）
铅球	健身塑形
彩超	体检（健康指标）
芦荟	成分与药材
川芎	成分与药材
喉炎	疾病与健康问题
养发	需求&功能
健康体检	体检（健康指标）
性早熟	疾病与健康问题
呕吐	疾病与健康问题
长高	需求&功能
抗疲劳	疾病与健康问题
黄精	成分与药材
红眼病	疾病与健康问题
蔓越莓	成分与药材
近视	疾病与健康问题
糖尿病	疾病与健康问题
大肠癌	疾病与健康问题
尼克酸	成分与药材
色素痣	疾病与健康问题
苦瓜	成分与药材
护理	需求&功能
水肿	疾病与健康问题
孕检	体检（健康指标）
内分泌失调	疾病与健康问题
高血糖	疾病与健康问题
极限运动	健身塑形
兵乓球	健身塑形
减肥	需求&功能
脑瘫	疾病与健康问题
大豆异黄酮	成分与药材
枣	成分与药材
川贝	成分与药材
抗病毒	需求&功能
肝硬化	疾病与健康问题
抗生素	治疗手段
呼啦圈	健身塑形
南瓜	成分与药材
糖份	体检（健康指标）
沙参	成分与药材
郁金香	成分与药材
滑精	疾病与健康问题
寒性体质	疾病与健康问题
鹿茸	成分与药材
热敷	治疗手段
消瘦	疾病与健康问题
皮肤老化	疾病与健康问题
壮骨	需求&功能
绿茶	成分与药材
嗳气	疾病与健康问题
不饱和脂肪酸	成分与药材
孕吐	疾病与健康问题
柴胡	成分与药材
散光	疾病与健康问题
叶黄素	成分与药材
晚睡	疾病与健康问题
瘦腰	需求&功能
甲肝	疾病与健康问题
物理治疗	治疗手段
早搏	疾病与健康问题
无氧运动	健身塑形
尿检	体检（健康指标）
马术	健身塑形
生甘草	成分与药材
湿热	疾病与健康问题
水泡	疾病与健康问题
经络	治疗手段
精神压力	疾病与健康问题
牛初乳	成分与药材
塑形	需求&功能
蒲公英	成分与药材
生态环境	环境污染
过敏源	体检（健康指标）
发育迟缓	疾病与健康问题
蜂王浆	成分与药材
宫颈疾病	疾病与健康问题
药膳	治疗手段
辅酶Q10	成分与药材
车前子	成分与药材
皮肤护理	需求&功能
胃镜	体检（健康指标）
壮阳药	治疗手段
猝死	疾病与健康问题
黄斑变性	疾病与健康问题
长牙	需求&功能
无机盐	成分与药材
美肤	需求&功能
阴道炎	疾病与健康问题
龟苓膏	成分与药材
水环境	环境污染
保护眼睛	需求&功能
污染源	环境污染
胸腔积液	疾病与健康问题
心衰竭	疾病与健康问题
脑梗塞	疾病与健康问题
磨牙	疾病与健康问题
牙周炎	疾病与健康问题
精氨酸	成分与药材
紧肤	需求&功能
抗辐射	需求&功能
脚肿	疾病与健康问题
职业病	疾病与健康问题
维生素K	成分与药材
去痘印	需求&功能
哑铃	健身塑形
慢性病	疾病与健康问题
壮阳	需求&功能
基础代谢	体检（健康指标）
脑震荡	疾病与健康问题
沙漠化	环境污染
气管炎	疾病与健康问题
精神分裂症	疾病与健康问题
脱肛	疾病与健康问题
褥疮	疾病与健康问题
晒斑	疾病与健康问题
龅牙	疾病与健康问题
合理膳食	治疗手段
发育	需求&功能
发烧	疾病与健康问题
环境污染	环境污染
脑梗死	疾病与健康问题
瑜伽	健身塑形
游泳	健身塑形
打喷嚏	疾病与健康问题
胃肠炎	疾病与健康问题
练习	健身塑形
体育运动	健身塑形
保健	需求&功能
心肌梗塞	疾病与健康问题
水质	环境污染
喉咙痛	疾病与健康问题
雾霾	环境污染
壁球	健身塑形
腰椎间盘突出	疾病与健康问题
减压	需求&功能
磷脂	成分与药材
心肌缺血	疾病与健康问题
薄荷	成分与药材
胎位不正	疾病与健康问题
扩胸	健身塑形
自由泳	健身塑形
心绞痛	疾病与健康问题
肺水肿	疾病与健康问题
添加剂	环境污染
益生菌	成分与药材
篮球	健身塑形
死胎	疾病与健康问题
耳聋	疾病与健康问题
早产	疾病与健康问题
男性不育症	疾病与健康问题
忧郁症	疾病与健康问题
补脑	需求&功能
减肥操	健身塑形
手术	治疗手段
中风	疾病与健康问题
水资源	环境污染
乳清蛋白	成分与药材
抑郁症	疾病与健康问题
四肢无力	疾病与健康问题
扁平足	疾病与健康问题
营养早餐	治疗手段
脑水肿	疾病与健康问题
过敏性休克	疾病与健康问题
改善睡眠	需求&功能
灵芝	成分与药材
何首乌	成分与药材
环境保护	环境污染
美胸	需求&功能
蹦极	健身塑形
嗜睡	疾病与健康问题
放松心情	需求&功能
玫瑰精油	成分与药材
党参	成分与药材
综合治疗	治疗手段
心律失常	疾病与健康问题
玄参	成分与药材
酒精过敏	疾病与健康问题
败血症	疾病与健康问题
长寿	需求&功能
老年斑	疾病与健康问题
肝功能异常	疾病与健康问题
盗汗	疾病与健康问题
夜盲症	疾病与健康问题
白茅根	成分与药材
跆拳道	健身塑形
理疗	需求&功能
曲棍球	健身塑形
白发	疾病与健康问题
化验单	体检（健康指标）
便秘	疾病与健康问题
尿常规	体检（健康指标）
胎记	疾病与健康问题
飞蚊症	疾病与健康问题
前列腺	疾病与健康问题
心肌病	疾病与健康问题
脑损伤	疾病与健康问题
防护	需求&功能
宫外孕	疾病与健康问题
瘦身养颜	需求&功能
隔离防晒	需求&功能
溜冰	健身塑形
眼保健操	健身塑形
红参	成分与药材
低血糖	疾病与健康问题
磁共振	体检（健康指标）
丹参	成分与药材
肾功能障碍	疾病与健康问题
惊厥	疾病与健康问题
化疗	治疗手段
减脂增肌	需求&功能
单杠	健身塑形
DHA	成分与药材
夏枯草	成分与药材
保湿	需求&功能
二次污染	环境污染
养生茶	治疗手段
骨关节炎	疾病与健康问题
卡路里	体检（健康指标）
便血	疾病与健康问题
柠檬草	成分与药材
压腿	健身塑形
乌发	需求&功能
中耳炎	疾病与健康问题
妊娠糖尿病	疾病与健康问题
x光	体检（健康指标）
保肝	需求&功能
拳击	健身塑形
腹痛	疾病与健康问题
耗能	体检（健康指标）
地肤子	成分与药材
丰胸	需求&功能
去纹	需求&功能
结核病	疾病与健康问题
唇裂	疾病与健康问题
城市污染	环境污染
尾气	环境污染
冻疮	疾病与健康问题
去黑头	需求&功能
化验	体检（健康指标）
口舌生疮	疾病与健康问题
代谢综合征	疾病与健康问题
弱视	疾病与健康问题
毛孔堵塞	疾病与健康问题
子宫内膜异位	疾病与健康问题
刮痧	治疗手段
口腔癌	疾病与健康问题
口腔护理	需求&功能
乌鸡	成分与药材
甲亢	疾病与健康问题
头球	健身塑形
乒乓球	健身塑形
土壤污染	环境污染
冻伤	疾病与健康问题
卵巢功能	疾病与健康问题
坐骨神经痛	疾病与健康问题
去角质	需求&功能
帕金森	疾病与健康问题
仰卧起坐	健身塑形
眼皮跳	疾病与健康问题
扭伤	疾病与健康问题
营养品	治疗手段
三高	疾病与健康问题
室内污染	环境污染
乙肝	疾病与健康问题
体臭	疾病与健康问题
b超	体检（健康指标）
大气污染	环境污染
呕血	疾病与健康问题
台球	健身塑形
推拿	治疗手段
失明	疾病与健康问题
健康教育	疾病与健康问题
人参	成分与药材
久坐	疾病与健康问题
全身检查	体检（健康指标）
沙眼	疾病与健康问题
中医治疗	治疗手段
健身	健身塑形
自行车	健身塑形
保护牙齿	需求&功能
呼吸困难	疾病与健康问题
截瘫	疾病与健康问题
先天性心脏病	疾病与健康问题
上呼吸道感染	疾病与健康问题
体检中心	体检（健康指标）
不孕不育	疾病与健康问题
塑化剂	环境污染
温阳	需求&功能
水体	环境污染
攀岩	健身塑形
尿毒症	疾病与健康问题
椎间盘突出	疾病与健康问题
严重危害	环境污染
标枪	健身塑形
强迫症	疾病与健康问题
斜颈	疾病与健康问题
口疮	疾病与健康问题
射箭	健身塑形
减肥塑形	需求&功能
全效	需求&功能
头发分叉	疾病与健康问题
左旋肉碱	成分与药材
强化骨骼	治疗手段
妊娠反应	疾病与健康问题
工业污染	环境污染
呼吸衰竭	疾病与健康问题
前置胎盘	疾病与健康问题
寒战	疾病与健康问题
上火	疾病与健康问题
腰腿痛	疾病与健康问题
可吸入颗粒物	环境污染
溶血	疾病与健康问题
产后瘦身	需求&功能
尘肺	疾病与健康问题
男性病	疾病与健康问题
脑出血	疾病与健康问题
沙棘	成分与药材
儿童心理	疾病与健康问题
妊娠斑	疾病与健康问题
肺部感染	疾病与健康问题
划船	健身塑形
手足口病	疾病与健康问题
子宫内膜炎	疾病与健康问题
地下水	环境污染
网球	健身塑形
打呼噜	疾病与健康问题
清香	成分与药材
贴膏药	治疗手段
尿道炎	疾病与健康问题
抗血栓	需求&功能
惊跳	疾病与健康问题
跳远	健身塑形
pm	环境污染
假性近视	疾病与健康问题
抗自由基	疾病与健康问题
偏执	疾病与健康问题
消炎药	治疗手段
生育能力	疾病与健康问题
打针	治疗手段
针刀	治疗手段
抗痘	需求&功能
眼屎多	疾病与健康问题
药疗	治疗手段
城市环境	环境污染
打球	健身塑形
幻觉	疾病与健康问题
柔道	健身塑形
检查单	体检（健康指标）
甲壳素	成分与药材
沙尘	环境污染
抽搐	疾病与健康问题
水痘	疾病与健康问题
毛囊炎	疾病与健康问题
步行	健身塑形
体温计	体检（健康指标）
