source,target,weight
皮肤科,消化内科,1102
皮肤科,药材,1627
皮肤科,神经内科,1385
皮肤科,滋养,1364
呼吸内科,两性,685
呼吸内科,美容,476
呼吸内科,食疗,806
呼吸内科,消化内科,2913
呼吸内科,药材,2495
呼吸内科,神经内科,2841
呼吸内科,滋养,2293
两性,美容,674
两性,食疗,580
两性,消化内科,562
两性,药材,1642
两性,神经内科,826
两性,滋养,2563
美容,食疗,393
美容,消化内科,455
美容,药材,1210
美容,美体,701
美容,神经内科,493
美容,滋养,2166
食疗,消化内科,626
食疗,药材,1173
食疗,神经内科,591
食疗,滋养,3160
消化内科,药材,1833
消化内科,神经内科,1993
消化内科,滋养,1822
药材,神经内科,2144
药材,滋养,3952
美体,滋养,777
神经内科,滋养,2164
